Distance (km),Bus Stop Code,Road,Bus Stop Description
0,22009,Jurong West Ctrl 3,Boon Lay Int
0.6,21361,Jln Boon Lay,Blk 695
0.9,21399,Boon Lay Ave,Opp River Valley High Sch
1.3,21421,Boon Lay Ave,Blk 176
1.7,21241,Boon Lay Ave,Opp Blk 213
1.8,21161,Corporation Rd,Opp Jurong JC
3,28169,Jurong Rd,Aft Hong Kah Flyover
3.2,28159,Jurong Rd,Aft Hong Kah Circle
4.1,28149,Jurong Rd,Opp Jurong Lodge 1B
4.3,28139,Jurong Rd,Aft Track 22
4.8,28129,Jurong Rd,Aft Track 18
5.2,28119,Jurong Rd,Bef Bt Batok Rd
5.5,43459,Bt Batok Rd,Aft PIE
6,43349,Bt Batok West Ave 3,Opp Princess E Pr Sch
6.4,43539,Bt Batok West Ave 3,Opp Blk 140
6.7,43409,Bt Batok West Ave 3,Opp Blk 127
7.2,43411,Bt Batok Ctrl,Opp Blk 628
7.8,43179,Bt Batok East Ave 3,Blk 231
8.2,43189,Bt Batok East Ave 3,Blk 283
8.6,43199,Bt Batok East Ave 6,Ch of St. Mary
9.1,43209,Bt Batok East Ave 6,Autobacs
9.6,42199,Jln Jurong Kechil,Aft Bt Batok East Ave 6
9.9,42189,Jln Jurong Kechil,The Hillford
10.2,42179,Jln Jurong Kechil,Aft Chun Tin Rd
10.6,42169,Jln Jurong Kechil,Opp Blk 19
10.8,42159,Jln Jurong Kechil,Opp Beauty World Stn
11.1,42259,Jln Jurong Kechil,Goh & Goh Bldg
11.5,42089,Jln Anak Bt,Opp Bt Timah Plaza
12.2,42059,Dunearn Rd,Opp King Albert Pk Stn
12.4,42049,Dunearn Rd,Hua Guan Gdn
12.8,42039,Dunearn Rd,Opp The Nexus
13.3,42029,Dunearn Rd,Aft Swiss Club Rd
13.8,42019,Dunearn Rd,Opp Sixth Ave Stn
14.2,41089,Dunearn Rd,Aft Jln Naga Sari
14.6,41079,Dunearn Rd,Natl JC
15.2,41069,Dunearn Rd,Opp Tan Kah Kee Stn
15.6,41049,Dunearn Rd,Opp Coronation Plaza
16.4,41119,Farrer Rd,Opp Lutheran Twrs
16.7,41109,Farrer Rd,Opp St. Margaret's Sec Sch
17.1,11119,Farrer Rd,Farrer Rd Stn Exit A
17.4,11109,Farrer Rd,Spanish Village
17.7,11099,Farrer Rd,Opp Tulip Gdn
18.1,11229,Holland Rd,Les Jardins de Holland
18.4,11219,Holland Rd,Great Eastern Mans
18.8,11209,Holland Rd,Opp Peirce Rd
19.2,13029,Holland Rd,Bef Tyersall Ave
19.9,13019,Napier Rd,S'pore Botanic Gdns
20,09149,Napier Rd,Opp British Council
20.6,09159,Tanglin Rd,Aft Tomlinson Rd
20.9,09169,Orchard Rd,Delfi Orchard
21.2,09179,Orchard Rd,Royal Thai Embassy
21.5,09047,Orchard Rd,Orchard Stn/Tang Plaza
22,09037,Orchard Rd,Opp Mandarin Orchard
22.7,08138,Orchard Rd,Concorde Hotel S'pore
23.1,08057,Orchard Rd,Dhoby Ghaut Stn
23.6,08069,Bras Basah Rd,Bencoolen Stn Exit B
24.4,04167,Nth Bridge Rd,City Hall Stn Exit B
24.7,04249,Nth Bridge Rd,Opp The Treasury
25.1,05029,Sth Bridge Rd,Boat Quay
25.7,05131,Upp Cross St,Opp Hong Lim Cplx
26.1,06171,Upp Cross St,Opp State Ct
26.8,06031,Chin Swee Rd,Opp Blk 13
27.5,06029,Outram Rd,Outram Pk Stn
28.1,10011,New Bridge Rd,Bef Neil Rd
28.4,10041,Kg Bahru Rd,Bef Kampong Bahru Ter
29,10499,Spooner Rd,Kampong Bahru Ter